	DNA_blank_P1	DNA_blank_P2	EL_003_pre	EL_003_pw	EL_007_un	EL_007_un1	EL_022_pre	EL_023_pre	EL_025_un	EL_025_un1	EL_026_pre	EL_027_pre1	EL_027_pre2	EL_028_pre1	EL_028_pre2	EL_031_pre	EL_032_pre	EL_035_pw	EL_036_pre	EL_036_pw	EL_047_pre	EL_050_pre	EL_050_pw	EL_051_pre	EL_051_pw	EL_052_pre	EL_052_pw	EL_059_pre	EL_059_pw	EL_068_pre1	EL_068_pre2	EL_070_pm	EL_070_pre	EL_070_pw	EL_073_pre	EL_074_pre	EL_074_pw	EL_075_pm	EL_075_pre	EL_075_pw	EL_078_pre	EL_078_pw	FS_006_pre_in	FS_006_pre_out	FS_006_pre1	FS_024_pre	NE.077_pre	NE_002_pre1	NE_002_pre2	NE_002_pw	NE_009_un	NE_009_un1	NE_010_un	NE_010_un1	NE_012_un	NE_012_un1	NE_018_pre	NE_018_pw	NE_021_pre	NE_034_pre	NE_034_pw	NE_035_pre	NE_037_pre	NE_038_pre	NE_041_pre	NE_041_pw	NE_043_pre	NE_056_pre	NE_056_pw	NE_058_pre	NE_058_pw	NE_063_pre	NE_063_pw	NE_066_pre	NE_067_pre	NE_067_pw	NE_069_pre	NE_069_pw	NE_071_pre	NE_072_pre	NE_079_pre	NE_079_pw	PA_001_pre	PA_001_pw	PA_008_un	PA_008_un1	PA_011_un	PA_011_un1	PA_013_pre	PA_013_pw	PA_014_pre	PA_014_pw	PA_015_pre	PA_015_pw	PA_016_un	PA_016_un1	PA_019_pre	PA_029_pre1	PA_029_pre2	PA_029_pw	PA_030_pre1	PA_030_pre2	PA_030_pw	PA_033_pm	PA_033_pre	PA_033_pw	PA_039_pre	PA_040_pre	PA_042_pre	PA_042_pw	PA_044_pm	PA_044_pre	PA_044_pw	PA_045_pre	PA_045_pw	PA_046_pre	PA_046_pw	PA_048_pre	PA_048_pw1	PA_048_pw2	PA_049_pre	PA_049_pw	PA_053_pre	PA_053_pw	PA_054_pre	PA_054_pw	PA_055_pre	PA_055_pw	PA_057_pre	PA_057_pw	PA_060_pre	PA_060_pw	PA_061_pre1	PA_061_pre2	PA_061_pw	PA_062_pre	PA_064_pre	PA_064_pw	PA_065_pre	PA_065_pw	PA_076_pre	PA_076_pw	PA_080_pre	PA_080_pw	PCR_blank_P1	PCR_blank_P2	SPIKE_P1	SPIKE_P2	UP_001	UP_006	UP_006_1	UP_006_2	UP_006_3	UP_006_4	UP_015	UP_030	US_001	US_006	US_006_2	US_006_4	US_015	US_030
Ndongobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Negativicoccus	0.99	0.94	2.83	0.27	1.69	0.04	0.34	0.35	0.99	1.26	2.06	0.25	0.59	1.59	1.6	0.18	2.62	0.19	1.38	1.5	0.48	0.94	0.14	0.61	0.06	1.58	0.54	0.86	0.4	3.27	4.88	0.51	1.02	0.35	1.27	0.82	1.46	0.09	1.21	0.41	1.92	0.57	0.06	0.34	2.54	0.34	2.68	3.42	4.48	0.18	5.35	0.44	0.34	0.34	1.2	1.98	1.54	0.98	0.28	1.08	0.6	0.95	4.49	0.47	3.23	0.59	2.45	0.69	0.72	0.35	1.1	2.63	3.08	2.27	0.14	0.21	3.03	0.69	0.36	1.85	2.21	0.5	0.47	0.58	2.55	2.02	1.18	3.34	0.25	0.31	2.3	1.03	0.19	0.26	0.21	0.43	1.31	2.44	1.99	3.34	0.17	0.19	0.13	1	0.08	0.92	2.19	1.09	1.55	0.6	0.76	0.3	0.17	1.19	0.15	0.99	0.81	0.42	0.61	0.27	5.16	2.59	3.19	0.66	1.06	1.28	1.14	0.81	1.23	0.73	1.48	0.27	1.31	0.39	0.31	0.22	2.31	0.9	0.71	0.74	1.7	0.86	3.4	2.58	0.73	0.65	0.66	0.11	1.11	0	1.4	0	1.19	1.34	0.4	0.87	0	0.86	1.1	1.64	1.8	1.23
Neisseria	0	0.18	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0.03	0	0.11	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	8.94	0	0	0	0	0	0	0	0	0.02	0	0.1	0	0	0	0	0.12	0.02	0	0	0	0	0	0	0	0	0.04	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.01	0	0	0.04	0	0	0	0	0.16	0	0	0	0	0	0	0	0.07	0	0.06	0	0	0	0.05	0	0	0	0	0	0.35	0	0	0.04	0	0.01	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neorhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oceanivirga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parabacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0.25	0	0.2	0	0	0	0	0	0.19	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasutterella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvimonas	0	0	0	0	0	0	0.2	0.06	0.12	0	0.04	0	0.02	0.05	0	0.03	0	0	0	0	0	0	0	0	0	0	0.1	0.02	0	0	0	0.05	0	0	0.13	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0.05	0	0.03	0	0	0	0.06	0	0	0.02	0	0.15	0	0.04	0	0	0.02	0	0.01	0	0	0	0.15	0.02	0	0	0.01	0.04	0	0	0	0	0	0	0	0.02	0.05	0.01	0.08	1.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.07	0.17	0	0	0	0	0.02	0	0	0	0	0	0	3.3	0	0	0.02	0	0	0	0.18	0.04	0	0	0.03	0	0	0.11	0	0.06	0	0.02	0.09	0.01	0	0.15	1.14	0.22	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.31	0	0.16	0	0	0	0
Peptococcus	0	0	0.01	0	0.15	0	0.35	0	0.12	0.27	0.19	0.03	0.05	0.04	0.05	0.06	0.01	0	0.09	0.02	0.06	0.3	0	0.63	0.07	0	1.24	0.09	0.05	0.02	0.01	0	0.22	0	0	0.05	0	0.02	0.09	0	0.28	0.06	0.01	0.02	0.05	0.02	0.14	0.22	0.12	0.18	0.03	0.02	0.11	0.24	0.22	0.06	0.16	0.02	0	0.01	0	0	0.14	0	0	0	0.05	0	0	0	0.04	0	0.23	0	0	0	0.25	0.27	0.04	0	0	0.12	0	0	3.68	0.21	0.15	2.15	0.03	0	0.11	0	1.28	0	0.09	5.32	0.04	0.03	0	0.04	0.16	0.25	0.05	0.22	0.04	0	0.24	0	0	0.08	0	0.27	0	0.08	0	0.08	0.33	0.01	0.01	0.1	0.04	0.54	0.01	0.12	0.12	0.32	0	0	0	0	0.14	0	2.19	0.22	0.1	0.02	0.14	0	0.01	0	0	0.16	0	0	0.42	0.13	0.02	0.01	0.08	0	0.14	0	0.38	0.42	0.25	0.28	0.01	0.25	0.12	0.55	0	0.02
Peptoniphilus	23.26	10.26	16.61	3.96	20.38	1.93	11.45	12.25	10.56	14.97	14.39	10.21	10.77	15.88	17.92	12.86	10.77	16.01	13.58	16.29	11.21	11.13	18.33	10.62	2.66	14.32	14.97	17.55	4.26	14.23	16.43	3.17	18.73	3.52	12.28	9.9	18.85	6.7	11.39	7.05	13.1	5.44	19.62	18.2	13.16	2.15	12.39	14	14.05	1.38	13.59	4.3	2.74	16.95	13.69	21.7	10.56	6.9	17.14	9.66	4.39	11.3	12.7	3.69	12.55	5.93	10.96	12.4	8.24	16.08	10.59	10.09	17.12	12.95	13.31	2.48	11.37	13.69	17.63	17.39	25.49	5.68	9.08	3.71	12.31	14.52	15.1	19.69	9.99	6.69	14.33	11.86	9.52	9.43	8.82	20.56	11.02	14.44	11.13	12.2	17.13	14.9	2.79	13.79	13.79	9.45	7.77	11	16.39	5.95	7.84	10.04	0.6	8.2	1.05	8.24	7.33	10.83	5.8	5.47	15.94	12.68	16.46	8.5	15.13	8.23	11.67	11.64	18.87	5.85	17.23	9.63	10.69	4.45	2.9	2.15	22.94	5.78	15.25	5.75	11.77	11.37	10.41	23.08	10.28	9.26	3.75	0.7	9.61	13.35	13.65	20.42	9.46	13.84	8.24	10.86	25.79	8.64	13.31	9.38	7.48	9.97
Peptostreptococcus	0	0	0.02	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.09	0.27	0	0	0	0	0.05	0	0.09	0	0	0	0.07	0	0	0.09	0	0.04	0.13	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0.99	0	0	0	0	0	0.21	0	0	0	0.47	0	0	0	0.04	0	0.05	0	0	0	0.12	0	0	0	0	0.06	0	0	0.22	0	0.06	0	0	0	0.31	0.03	0	0	0	0	0	0.46	0	0	0	0	0	0.13	0.17	0	0.04	0	0	0	0	0.37	0	0	0	0	0	0	0	0	0	0	0	0.28	0.03	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0
Phreatobacter	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phytobacter	0	0	0	0	0.08	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.23	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0.34	0	0	0	0	0	0	0	0	0	0	0	0	1.38	0
Porphyromonas	5.96	5.86	4.85	0.48	5.7	0.52	10.14	8.64	6.85	5.73	7.25	12.1	12.13	19.11	21.02	1.17	25.17	13.73	9.99	12.95	9.16	2.79	12.78	15.33	1.48	4.15	12.15	1.7	1.28	2.66	4.53	1.7	2.44	1.49	4.11	0.85	2.84	1.29	3.63	1.66	7.98	3.52	17.99	14.63	5.64	1.05	11.51	1.61	2.1	1.18	6.01	2.11	1.05	4.62	8.38	8.43	5.87	3.27	12.75	3.22	1.82	13.13	5.12	1.41	9.53	3.04	5.14	0.7	5.45	4.58	3.52	7.49	6.73	11.7	2.6	0.64	7.72	8.3	1.05	15.07	3.86	2.53	5.57	0.88	10.06	11	4.68	6.28	5.84	4.31	9.08	6.72	19	2.15	2.34	13.82	8.59	14.73	14.3	17.68	6.74	5.29	1.58	4.1	6.37	2.97	3.85	1.47	6.1	2.33	2.93	1.56	0.18	2.81	0.34	4.47	3.88	0.68	1.14	1.33	7.4	21.93	6.53	4.6	19.39	3.47	8.78	5.45	10.2	2.94	15.12	1.69	12.5	1.7	1.57	0.82	14.98	1.77	5.77	2.73	12.79	3.77	5.48	9.55	4.31	4.08	2.36	0.26	2.66	5.59	4.55	14.2	5.56	6.32	5.56	6.45	1.6	5.47	10.86	4.97	5.59	4.08
Prevotella	0	2.87	3.05	0.62	5.86	0.54	19.38	0.5	1.76	4.98	15	10.23	7.52	4.04	4.06	1.32	0.74	2.95	0.71	0.44	1.1	1.23	0.07	0.41	0.19	16.97	1.01	2.41	0.86	10.44	7.71	0.89	1.36	1.27	1.14	0.93	0.28	0.74	3	3.25	3.31	1.46	2.5	2.91	2.53	0.49	3.99	1.62	0.76	0.44	1.56	1.29	0.57	37.2	12.94	0.01	1.15	3.24	1.52	5.06	2.26	9.56	19.36	14.82	2.27	0.93	12.63	0.4	3.58	0.47	6.06	2.06	6.03	8.27	7.94	0.95	4.78	0.51	0.72	2.45	9.31	0	0.87	1.47	3.03	1.62	2.14	2.73	0.66	0.96	3.07	0.76	0.42	2.35	2.56	5.2	4.68	1.39	0.55	0	0.92	0.25	3.84	6.06	0.62	1.87	0.54	17.28	1.27	1.66	2.11	10.78	0.61	0.33	0.07	25.61	4.34	5.29	1.47	1.81	5.73	0.5	2.78	1.68	0.85	0	6.67	1.65	0.23	2.59	1.64	0.28	0.04	0.62	4.29	2.17	3.17	1.51	7.15	3	1.6	5.45	1.23	0.62	2.98	1.41	1.48	0	1.24	3.29	2.7	1.28	1.69	4.24	6.48	8.46	0	8.35	0.96	3.32	0.09	4.14
Prevotellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellaceae UCG-001	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.25	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18	0	0	0.01	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0
Propionimicrobium	0	0	0.03	0.09	0.01	0	0	0	0.39	0	0	0.08	0.15	0.12	0.03	12.04	0.1	0	0	0.01	0.02	0.01	0	0	0.08	0.03	0.08	0.12	0	0.14	0.89	0.03	0	0	0	1.6	0	0.27	0.03	0.05	0.03	0.09	0.01	0.07	0.26	0	0.02	0	0.04	0	0.03	0	0.09	0	0	0	0	0.08	0.2	0.09	0	0.02	0	0	0	0	0.06	0.02	0	0.22	0.11	1.65	0	0.03	2.22	0.24	0.08	0	0.09	0	0.07	0	0.18	0.21	0	0.05	0.35	0.09	0.05	0.11	0	0	0	0.53	0	0	0	0	0	0	0.01	0.03	0	0	0.24	0	0	0	0.06	0.04	0	0.11	0.03	0	0	0	0	0.06	0.08	0	0.04	0	0.14	0	0.01	0	0	0	0	0	0.01	0.02	0	0.04	0.06	0	0	0.13	0.04	0	0.05	0.39	0.04	0.05	0.93	0	0.01	0	0.24	0	0	0	0	0	0	0	0.08	0	0	0	0	0
Proteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoleptotrichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas	0	0	0	0	0.12	0	0	0	0.37	0.34	0	0	0.09	0	0	0	0.08	0.05	0	0.09	0.05	0.06	0	0	0.06	0	0	0	0.1	0	0.08	0	0.06	0	0	0	0.69	0.05	0.2	0	0.08	0	0	0	0	0.16	0.08	0	0	0	0.06	0.1	0	0.04	0.17	0	0	0.02	0.07	0	0	0	0	0.09	0	0.36	0	0	0.15	0	0	0	0	0.14	0	0	0.18	0	0.07	0	0	0.16	0	0.01	0	0.07	0	0	0	0	0	0.36	0.05	0.14	0	0	0.21	0.05	0	0.16	0	0	0	0	0	0.43	0	0	0	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93	0.29	0	0	0	0.05	0.03	0	0	0	0	0.06	0.13	0	0	0.05	0	0.1	0	0	0.24	9.51	8.22	0	0.46	0	0.18	0	0	0.26	0	0	0.28	0.44	0	3.14	0
Pseudonocardia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoxanthomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psychrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ralstonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizorhapis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
